,company,month,ai_sum,ai_in,ai_out,cloud_sum,cloud_in,cloud_out,datascience_sum,datascience_in,datascience_out,datastorage_sum,datastorage_in,datastorage_out,robots_sum,robots_in,robots_out,software_sum,software_in,software_out,name,ticker,exchange,country,sector,sedol,isin,cusip,orb_num,url,industry,naics_code,naics_description,cik,lei,agg_sml,agg_obs,agg_reorg,agg_rcog,agg_rman,agg_tele
376,Danaher Corp,2013-12,881.77454,6.401733,19.329899,3793.081,51.568073,103.64636,2849.5688,42.8119,84.84914,4417.3,71.28517,121.1679,12512.228,137.90805,318.55536,6659.316,80.50488,167.78857,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8172946,3.6379156,4.267071,0.26974702,0.0475580059999999,0.37221327
377,Danaher Corp,2015-09,1025.0417,39.65566,39.951546,3591.9604,61.723667000000006,86.14519,3396.3633,115.01019,120.60602,4577.154,119.54303,124.16979,12729.632,225.73059,240.87073,6889.3965,152.83228,160.77101000000002,Danaher Corp,DHR,NYSE,United States,Health Care,2250870,US2358511028,235851102,,,,,,,,2.8155231,3.636545200000001,4.264135400000001,0.27784452,0.055331334,0.3681884
1769,"Stanley Black & Decker, Inc.",2015-05,69.83575400000001,1.576008,2.877276,1302.0135,13.058944,18.272467,561.0597,27.10125,19.923798,1183.2917,26.336432,29.96558,2951.8108,64.54511,63.92441,1099.2319,25.627659,27.551695,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8381402,3.5973587,4.2508054,0.20197277,0.036787257,0.3445262
1770,"Stanley Black & Decker, Inc.",2016-04,80.51569,2.8405976,0.023993086,1280.9597,20.39245,22.16577,662.6532,24.293465,21.545382,1236.1733,40.725998,40.79333,2937.1536,56.562206,54.44821,1160.3668,40.514256,35.072067,"Stanley Black & Decker, Inc.",SWK,NYSE,United States,Industrials,B3Q2FJ4,US8545021011,854502101,,,,,,,,2.8335445,3.5911462,4.24394,0.2003854,0.04076421,0.34397808
5326,Ingersoll-Rand PLC,2010-01,175.38551,5.9617357,7.257560300000001,1774.4629,88.38847,68.69558,818.3386,47.231777,35.85631,2114.9731,109.81003,91.12564,9447.435,360.8142,353.4596,2120.1394,109.02542,69.19250500000001,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7627733,3.5652413,4.182354,0.13613574,0.04232898,0.37763786
5327,Ingersoll-Rand PLC,2010-10,196.27145,6.308136,3.3998334000000003,1792.2654,59.96238,48.225773,860.6674,28.97796,15.588777,2127.0771,73.45581,50.12125,9500.184,167.37538,142.02393,2185.3296,68.572815,37.373463,Ingersoll-Rand PLC,IR,NYSE,United States,Industrials,B633030,IE00B6330302,G47791101,,,,,,,,2.7576041,3.5586767,4.174983,0.13476585,0.040331464,0.3775604
7993,Emerson Electric Co.,2012-06,1444.6747,84.39596999999999,33.323208,5870.003000000001,155.39758,134.7319,3615.7568,249.2512,103.74581,6666.3833,236.78722,166.5562,26041.283,677.4499,501.87314,9813.855,344.3073,198.6541,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7890465,3.6069934,4.243248,0.1665543,0.08576093,0.38555282
7994,Emerson Electric Co.,2020-03,1190.9735,15.33981,18.062265,3974.7156,46.469143,66.92452,3727.256,54.61788000000001,86.669525,4917.7974,60.11684399999999,77.15456999999999,20579.92,151.28996,213.67049,7666.3,70.079926,104.89097,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7887683,3.6088698,4.243841000000001,0.16710414,0.07912927,0.38573754
7995,Emerson Electric Co.,2020-12,1138.9624,21.016747,31.31137,3822.778,34.457203,68.55072,3541.3735,56.973305,94.664024,4729.3804,43.42753,85.43914000000001,19896.764,147.04834,305.92325,7427.594,73.74271,132.40096,Emerson Electric Co.,EMR,NYSE,United States,Industrials,2313405,US2910111044,291011104,,,,,,,,2.7912457,3.6138973,4.248784,0.16793627,0.074165694,0.3882877999999999
11507,SPX Corp,2010-04,25.885115,0.0005479831599999,0.9692139,189.94353,2.4020321,3.3015015,156.26018,0.009336221,2.1822062,275.6972,3.1308565,2.968056,1430.0862,18.81783,14.360421,333.77643,3.8437204,3.2054842,SPX Corp,SPXC,NYSE,United States,Industrials,2787185,US7846351044,784635104,,,,,,,,2.7663462000000005,3.5856998,4.217162999999999,0.13414425,0.0427862959999999,0.39330497
